id,titulo,ano,genero,nota,votos,orcamento,receita,diretor,poster,sinopse,duracao,popularidade
216015,Cinquenta Tons de Cinza,2015-02-11,Drama,5.863,12506,40000000,569651467,Sam Taylor-Johnson,https://image.tmdb.org/t/p/w500/fAfsfaRyQV5LKNvYoqlav0Gr3uC.jpg,"Anastasia Steele (Dakota Johnson) é uma estudante de literatura de 21 anos, recatada e virgem. Uma dia ela deve entrevistar para o jornal da faculdade o poderoso magnata Christian Grey (Jamie Dornan). Nasce uma complexa relação entre ambos: com a descoberta amorosa e sexual, Anastasia conhece os prazeres do sadomasoquismo, tornando-se o objeto de submissão do sádico Grey.",125,24.2636
1477712,O Sorveteiro,2026-08-03,Terror,5.0,40,5500000,4481000,Eli Roth,https://image.tmdb.org/t/p/w500/qqgjzKXWibrBf7MgqwZ78pDe8HU.jpg,"Um sorveteiro misterioso distribui um doce amaldiçoado que transforma crianças em assassinas, sedentas por sangue e sem piedade com os adultos. Enquanto o massacre toma conta das ruas, três jovens que escaparam por pouco da maldição correm contra o tempo para descobrir a origem desse homem e impedir que a matança se espalhe, antes que não sobre ninguém vivo.",86,24.1577
1197306,Resgate Implacável,2025-03-26,Ação,6.684,2050,40000000,89400711,David Ayer,https://image.tmdb.org/t/p/w500/1w01rEQRYvIoSs5Is9cQDJhiUel.jpg,"Ele quer viver uma vida simples e ser um bom pai para sua filha. Mas quando a filha adolescente de seu chefe, Jenny, desaparece, ele é chamado para reempregar as habilidades que o tornaram uma figura lendária nas operações secretas.",116,24.1116
348,Alien: O Oitavo Passageiro,1979-05-25,Terror,8.172,16689,11000000,104931801,Ridley Scott,https://image.tmdb.org/t/p/w500/rFHzJrkO1kNIezb6rFog5oCJUEn.jpg,"Quando a tripulação da sonda espacial Nostromo responde a um pedido de socorro vindo de um planeta inóspito, eles descobrem uma forma de vida mortal que se reproduz dentro de humanos. Agora, a tripulação deve lutar para permanecer viva e impedir que a criatura chegue até a Terra.",117,24.1048
150540,Divertida Mente,2015-06-17,Animação,7.907,23759,175000000,857611174,Pete Docter,https://image.tmdb.org/t/p/w500/62SAZfLfzhxJWUFJvfIPMw6QUpE.jpg,"Quando Riley, de 11 anos, se muda para uma nova cidade, suas Emoções - Alegria, Medo, Raiva, Nojinho e Tristeza trabalham juntas para ajudá-la na transição. Porém, uma série de eventos faz com que Alegria e Tristeza se envolvam em uma perigosa aventura que virará o mundo de Riley de cabeça para baixo.",95,24.097
102899,Homem-Formiga,2015-07-14,Ficção científica,7.066,21124,130000000,519311965,Peyton Reed,https://image.tmdb.org/t/p/w500/lsiy4IcnbtChkayPMxLda2fq4xM.jpg,"Dr. Hank Pym, o inventor da fórmula/traje que permite o encolhimento, precisa impedir que seu ex-pupilo Darren Cross consiga replicar o feito e vender a tecnologia para uma organização do mal. Depois de sair da cadeia, o trambiqueiro Scott Lang está disposto a reconquistar o respeito da ex-mulher, Maggie e, principalmente, da filha. Com dificuldades de arrumar um emprego honesto, ele aceita praticar um último golpe. O que ele não sabia era que tudo não passava de um plano do Dr. Pym que, depois de anos observando o hábil ladrão, o escolhe para vestir o traje do Homem-Formiga.",115,23.9872
1430077,Hokum: O Pesadelo da Bruxa,2026-04-29,Terror,6.92,749,5000000,24117049,Damian McCarthy,https://image.tmdb.org/t/p/w500/fn5QNtG3LLXC3e7ZTQDYP92kFYc.jpg,"O escritor solitário Ohm Bauman refugia-se em um hotel isolado para cumprir o último desejo de seus pais. A despedida silenciosa transforma-se em pesadelo quando histórias sobre uma antiga bruxa que assombra a suíte de lua de mel passam a invadir seus sonhos e sua mente. Entre visões perturbadoras e um desaparecimento chocante, Ohm é levado a um confronto aterrorizante com as forças que cercam o local e com os cantos mais sombrios de seu próprio passado.",108,23.9688
4935,O Castelo Animado,2004-09-09,Fantasia,8.388,11313,24000000,236049757,Hayao Miyazaki,https://image.tmdb.org/t/p/w500/1hTfaEWktMJPxCk5nZNtK7F86C9.jpg,"Sophie, uma jovem chapeleira, é transformada em uma mulher idosa por uma bruxa que entra em sua loja e a amaldiçoa. Ela encontra um mago chamado Howl e se vê envolvida em sua resistência em lutar pelo rei.",120,23.9204
218,O Exterminador do Futuro,1984-10-26,Ação,7.687,14955,6400000,78371200,James Cameron,https://image.tmdb.org/t/p/w500/fo4SSoNT1ASI4JP7dOLrosWNWKa.jpg,"Em um futuro próximo, a guerra entre humanos e máquinas foi iniciada. Com a tecnologia a seu dispor, um plano inusitado é arquitetado pelas máquinas ao enviar para o passado um andróide com a missão de matar a mãe daquele que viria a se transformar num líder e seu pior inimigo. Contudo, os humanos também conseguem enviar seu representante para proteger a mulher e tentar garantir o futuro da humanidade.",107,23.8868
545611,Tudo em Todo o Lugar ao Mesmo Tempo,2022-03-24,Ação,7.709,8287,25000000,139200000,Daniel Scheinert,https://image.tmdb.org/t/p/w500/2dSZQGwijlXvMSyuGe0FSgrXnv0.jpg,"Uma imigrante chinesa parte rumo a uma aventura onde, sozinha, precisará salvar o mundo, explorando outros universos e outras vidas que poderia ter vivido. Contudo, as coisas se complicam quando ela fica presa nessa infinidade de possibilidades sem conseguir retornar para casa.",139,23.862
567609,Casamento Sangrento,2019-08-21,Terror,7.095,5775,6000000,57615777,Tyler Gillett,https://image.tmdb.org/t/p/w500/k5dJuAdjv1wCq2Vzj1GZfwGmLoU.jpg,"Grace acaba de se casar com o herdeiro milionário de uma família especializada em jogos de tabuleiro. Antes de realmente integrar a família, no entanto, ela é obrigada a participar de uma tradição familiar: um jogo de esconde-esconde pela mansão dos Le Domas. Aos poucos, Grace percebe que a brincadeira inocente é na verdade uma caçada sangrenta contra a recém-casada, em que todas as armas e golpes são permitidos para assassiná-la. A jovem terá a difícil missão de sobreviver aos ataques até o amanhecer.",95,23.8427
1545621,名探偵コナン ハイウェイの堕天使,2026-04-10,Animação,7.6,16,0,0,蓮井隆弘,https://image.tmdb.org/t/p/w500/l2kfiNoRi6ofM5pSjr1rCloOfpx.jpg,,109,23.8244
1616131,Meu Próprio Filho,2026-07-30,Documentário,6.5,7,0,0,Maite Alberdi,https://image.tmdb.org/t/p/w500/iBD5kzk6XMyQEuV4m4A6OotqcSK.jpg,"Desesperada para ter um filho e pressionada pela família e pela sociedade, uma mulher finge estar grávida e acaba envolvida em um crime neste documentário impactante.",96,23.8202
1266127,Casamento Sangrento: A Viúva,2026-03-19,Terror,7.587,1498,14000000,42940054,Matt Bettinelli-Olpin,https://image.tmdb.org/t/p/w500/u6OwPW7mO8nrtJoC27W541bRQ8F.jpg,"A noiva retorna em uma nova e sinistra rodada do tradicional jogo de esconde-esconde, agora com elementos sobrenaturais e demoníacos.",108,23.8079
402431,Wicked,2024-10-16,Drama,6.901,3179,150000000,763963597,Jon M. Chu,https://image.tmdb.org/t/p/w500/qcaKkLwIXCAxJtpetVYHniCvLZj.jpg,"Elphaba é uma jovem como outra qualquer do Reino de Oz, mas incompreendida por causa de sua pele verde incomum e por ainda não ter descoberto seu verdadeiro poder. Sua rotina é tranquila e pouco interessante, mas ao iniciar seus estudos na Universidade de Shiz, seu destino encontra Glinda, uma jovem popular e ambiciosa, nascida em berço de ouro, que só quer garantir seus privilégios e ainda não conhece sua verdadeira alma. As duas iniciam uma inesperada amizade; no entanto, suas diferenças, como o desejo de Glinda pela popularidade e poder, e a determinação de Elphaba em permanecer fiel a si mesma, entram no caminho, o que pode perpetuar no futuro de cada uma e em como as pessoas de Oz as enxergam.",161,23.68
1650558,Abot Langit,2026-03-13,Romance,5.0,1,0,0,Topel Lee,https://image.tmdb.org/t/p/w500/5lVYe4aSimWdxJINKwq9s68TZ2G.jpg,,70,23.5313
